"";"country_name";"id_eu27";"id_ext";"id_eu_ext";"model";"crop";"x";"y";"soybean_area";"mean_Ya_pred";"sd_Ya_pred";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"13";"France";1;0;1;"pca.m.2";"maize";-0,25;44,75;2199,99173994308;12973,6870143352;1617,74818065452;13027,0480193984;10878,5982637608;13100,1121605234;13508,2907315324;11149,0935917747;11057,6978538085;12774,4948277235;13572,7734807302;13382,0739554294;14453,6959517111;12463,8064895215;13132,2263776219;14958,3892065765;13657,3840953316;13615,9044638774;10155,3999651326;11767,5135788492;9237,90036381465;14088,8866367851;15386,1916949455;14740,8264729546;12200,5631972942;13619,1987731353;15440,4181918125
"14";"France";1;0;1;"pca.m.2";"maize";-0,25;45,25;2181,13178421313;12883,8046263663;1504,00738214224;13742,2900756753;11047,541107318;15127,8690145575;12282,5211114388;11101,177648613;11030,1317970887;11846,142428638;13873,2715629722;14947,3908424357;13100,1644264378;12394,1201174833;12882,8526347142;14218,2036971976;14710,0035704271;12609,9281338906;11362,6639285582;11884,6563337122;9387,66481250641;13193,4906506237;14805,9376109536;13301,9512807437;12251,7260231654;13196,6515287865;14912,9606948531
"15";"France";1;0;1;"pca.m.2";"maize";-0,25;45,75;2162,10123781024;12893,5816645106;1782,06053031436;14905,3642849573;11199,8962649404;16054,0893080919;11095,1885421497;11544,2151253406;10671,5546989681;12143,4759551341;14330,5403039715;15934,7399384503;12832,0502630006;12293,2309595907;12634,984463046;14812,1080822301;15590,7574207343;13465,6298437265;11788,5998960258;11939,9848583042;9712,63590754024;11962,8288350603;14819,3724616696;12613,1866378152;11302,7467349255;11650,0259055662;14148,7532570151
"16";"France";1;0;1;"pca.m.2";"maize";-0,25;46,25;2142,90143469067;13452,3893175165;1827,50640099656;14891,6509103176;12381,6801471852;16927,0032280409;11719,1254358563;12243,730160196;10261,6324181207;13217,8835935598;15390,6338650708;15779,9934419712;13981,180130522;12976,2544280959;13259,1457630502;15755,9928195669;16066,7795857575;14453,8512416814;13387,4854156406;13181,8769511386;9723,45916580709;12185,40735992;15118,7496095933;13331,433084955;12274,6131123672;11493,7622264302;12854,0195255515
"17";"France";1;0;1;"pca.m.2";"maize";-0,25;46,75;2123,53372481628;13306,7051272245;1917,25087119793;15564,7228446583;12456,7821343788;16565,705558563;11782,7012756528;11545,9409287805;10576,2541550165;13488,4771788091;15288,5373337113;15620,8045055159;13839,682835893;12231,2306109337;13317,9501943915;16011,0095825176;15391,3329842275;14471,4187217691;12974,7307257934;13071,6020920356;9970,43855059418;11185,3077895367;15430,3295934445;13317,6713187243;12734,6201787115;10153,7965831665;12369,875376562
"18";"France";1;0;1;"pca.m.2";"maize";-0,25;47,25;2103,99947413153;12958,6126596173;1875,9243383533;15241,0780197698;12149,8189897373;16439,0094217668;10931,7180353632;11307,4310349213;11075,5250132209;12699,7295903104;14970,4558402343;15138,0025615588;13650,040405643;11628,3792820937;13072,9667579629;15607,0423792835;14765,2646966076;14392,8416719297;12664,9835069376;12571,8083739694;9670,0430352321;10881,7037432763;14145,2175727759;12739,2940377168;13815,3687246122;9834,41481790315;11614,5663179892
"19";"France";1;0;1;"pca.m.2";"maize";-0,25;47,75;2084,30006453592;13725,0200369694;1625,94871496411;14899,4260898392;14358,9134004007;16519,0369394529;11814,5528969265;12199,6521578825;13011,7188285394;13648,8898236345;15601,0838811999;14897,06093893;13957,7565663184;12496,7131751366;12969,4624306988;15742,4975738787;14581,8324232267;15960,9194059137;13726,0498495913;12952,2744330459;10760,0633387283;11329,433230486;15120,0232234058;12930,9228552449;15817,9915248839;11724,6499143578;12379,5559855434
"20";"France";1;0;1;"pca.m.2";"maize";-0,25;48,25;2064,43689385315;14851,9033312936;916,208378397668;14285,3155590093;14574,7492597835;16478,2807055215;12818,3556426803;14821,8191032749;14661,5443398136;14676,8326145823;15561,6410793755;14800,9805046304;15346,0799594451;14063,8204366496;14887,0860983571;15097,4013510513;14870,7968767451;16608,9763750655;14977,2264182506;14278,9529255947;13401,9712974443;13982,0325482795;15876,5912096362;14937,8049881282;16424,0804730983;13972,9037284526;15040,4364561765
"21";"France";1;0;1;"pca.m.2";"maize";-0,25;48,75;2044,4113757966;14946,3002650507;794,584183239949;14352,8314317883;14634,216211869;15892,4395271158;13289,0896419165;15373,0492361669;14693,3226467593;14137,0961201803;14969,5920334092;14891,6795500746;15549,8085745005;14188,571661585;15180,4996886203;14248,2841728185;14916,5910890638;16537,8488627031;16004,1285967677;14225,5580352257;14430,7575414214;13611,3220846162;15305,6496653011;15553,9940881245;15846,6685764309;15316,1892595821;15562,0180651767
"22";"France";1;0;1;"pca.m.2";"maize";-0,25;49,25;2024,22493993271;16290,6322627787;742,123187048306;17441,9159275817;16503,5373901912;16995,0380135614;14955,9632306201;16308,0221075782;16268,8581949232;16062,7667947301;16717,8152139907;16840,3357296024;16563,378662681;15826,0950742026;15224,2041136081;17203,1861194641;16723,885343522;17189,7593035924;16388,8537825841;14808,7095745051;16106,693570368;14932,9593025883;15663,710279704;15989,7424413137;16736,2268081777;16851,9481474182;16671,569180181
"23";"United Kingdom";0;1;1;"pca.m.2";"maize";-0,25;51,25;1941,89916214944;14083,7062589611;788,56366129226;14311,8634784674;14269,1518018531;14101,1420422196;13707,8470825302;13726,4768095718;14652,4915935489;14602,2712574755;13727,0567539259;13317,6576434987;13784,4209198936;12506,435988615;12563,5574734185;13721,9031554406;14370,4106098281;14831,0550811688;13955,0559015725;13871,6565589616;12906,6021551678;13824,8201990771;14566,9505785416;14656,8426999196;15143,6769755699;15638,9711219754;15250,6323328245
"24";"United Kingdom";0;1;1;"pca.m.2";"maize";-0,25;51,75;1920,93013248639;13044,5087788964;581,552700629134;13612,1229659438;13213,4963253865;13548,4297970191;12831,9695030229;12977,6564322754;13284,6855578065;12703,0467922485;13487,8073369682;12920,1252053972;13250,5501261387;11655,0744189036;11805,7678051164;13624,886200083;12582,3625803;13238,5599319912;13347,4205660272;12768,3176822757;12607,9247419892;12081,9946176074;13496,2563019588;13642,6723601487;13160,502391794;13873,2228812331;13353,3581718786
"25";"United Kingdom";0;1;1;"pca.m.2";"maize";-0,25;52,25;1899,80909275104;12631,5592371764;792,242363600259;13616,8416423321;13048,9610768321;13184,6478999614;11426,8561954049;13024,1276852818;13000,8877796301;12290,6653971272;13573,7073173289;12944,0911576361;12872,755991901;10968,7768152511;11693,2749027272;13110,106984615;11904,6124735533;13207,8390369563;13129,4874873493;12602,0415603913;12686,2849900928;10727,9623732247;13481,6479589114;12540,9153745444;13117,7587330171;12015,7049785919;12987,4658795731
"26";"United Kingdom";0;1;1;"pca.m.2";"maize";-0,25;52,75;1878,53758211804;12572,5716003612;733,323254891778;13703,6052732899;13077,4059019426;13183,844496548;11482,4236327673;12904,4777026635;12907,878064577;12344,1059427303;13417,7912098774;12614,8187865026;12892,0616300817;10955,9255130036;11398,7729448094;12840,3983741328;11757,1312609971;13039,8615497864;13062,591772044;12649,5145849787;12682,7446170629;11152,387307355;13083,3734511856;12470,1155324749;12900,7895082623;12073,2269414381;13146,4724101581
"27";"United Kingdom";0;1;1;"pca.m.2";"maize";-0,25;53,25;1857,11715518207;12831,2986508121;598,140886516171;13266,4421225739;12928,4045138989;12952,983580157;12613,2407974847;13077,8408473161;12868,285488072;13831,8839059588;13306,3151353558;12424,2992775082;12984,9529416414;11435,8635620224;11710,5498933349;12703,9016483776;11742,1883972745;12628,7513272744;12861,3994977688;12364,4531274131;13127,9643114925;12603,7760210648;13710,6999110073;12833,2535311584;12983,2642684643;13550,0223060115;13440,4312068585
"28";"United Kingdom";0;1;1;"pca.m.2";"maize";-0,25;53,75;1835,54938188629;13173,2445984847;1078,79220199564;12596,7580478163;13735,7717957876;13541,1121767683;12649,3299634307;13784,6564354873;13437,5159604272;14634,7579455855;12452,5792415506;12542,5221055892;13672,4165095082;10825,077331041;12558,8599237015;10898,9372427684;12457,4081268499;13649,8567395652;12003,5616636746;12618,4164504165;12770,3112464497;14161,3798037661;14527,9176652981;13560,8502845383;13619,7515754017;15128,1656752483;14329,9564529631
"29";"Spain";1;0;1;"pca.m.2";"maize";-0,75;37,75;2445,41029902118;10040,0039479508;2080,64956363261;8324,83161162275;11051,3336361428;10029,0176075102;13998,2374141082;9471,5337512785;8056,55292171611;9908,16154471574;14494,0218799269;12618,6185954394;7946,77998741499;8064,12413085783;8814,25889342122;10802,4249443984;7161,54298442466;8400,02483970861;9008,50951782108;9495,22815920075;7911,35726946223;13173,5954366517;13244,7638891104;9555,11206482153;10766,6302592671;9129,041688742;9534,39172305676
"30";"Spain";1;0;1;"pca.m.2";"maize";-0,75;38,25;2429,06968438748;11439,3078921973;2106,98564484526;8217,31430324104;12026,1691966224;13198,0226742969;14070,6367567679;11879,6889224634;9107,91630324039;11770,6991105346;14292,4080505726;13736,5522438956;8457,75804497069;11123,2296635559;11732,4604070131;9307,87066990915;7891,48084495147;10175,0154013419;12257,6634344526;11514,5983794829;8842,82639616279;14374,384906302;14272,1611144259;10377,4320671663;13464,5850749697;9641,05914228468;12811,4563041123
"31";"Spain";1;0;1;"pca.m.2";"maize";-0,75;38,75;2412,54149037222;13829,0348789819;2125,5410649538;10386,8436673911;13789,9950394649;15320,3194324209;16099,4002692546;13553,6105490986;12122,7641438299;13573,7111238894;15197,4767088632;16301,9311008447;12149,1159037862;13654,307364579;14766,8355031752;11932,3273185639;11718,115775952;12006,0292400993;13117,4705267995;13707,1363266956;9455,12401361635;15819,2583492244;18438,1827373205;13528,8934413585;17503,6043253871;13677,6077945005;14076,7764394506
"32";"Spain";1;0;1;"pca.m.2";"maize";-0,75;39,25;2395,82682604861;14267,3434313713;2304,30130639501;11929,2742893239;13781,5095817765;16497,5613115186;17414,3706674985;13622,7614589664;13714,3196590208;13921,8918433284;15709,1092084147;20166,2364313235;12156,3449312404;12975,286016074;15382,7977074494;12270,9953525102;12139,2665093074;12421,3661372186;13346,8869710531;14796,3107813611;9478,08186034654;16209,3976041019;14496,7634422371;14532,4259846024;18198,2291558809;14020,0258086193;13235,0296397373
"33";"Spain";1;0;1;"pca.m.2";"maize";-0,75;39,75;2378,92681651593;15092,1038113431;2068,16627610487;13703,7147504551;15275,3347118801;16959,60553966;17789,880162906;15108,7740800181;14538,9495485799;14294,7543067363;15246,8255583951;18923,0437480427;11841,4165697009;14911,0420588607;17314,1369651112;13526,3018496222;13771,5687282874;14686,7705281627;14866,6163235524;15310,9830241117;10236,7402873057;19076,1509278119;13309,1244518479;15967,0559528159;16955,8289174811;15269,2631158168;13326,6093650729
"34";"Spain";1;0;1;"pca.m.2";"maize";-0,75;40,25;2361,84260291556;15887,9322859885;1927,27935651835;15683,0180186586;16037,4173800151;18155,4790113476;17908,9699618874;16061,3184121709;15707,2270723543;14962,9873577241;16326,7476513502;19882,106979329;12462,8281266244;16649,3955370007;17802,6526346498;13363,0826767508;15649,2039802874;16249,6389314246;14262,1490763177;17241,0133974367;11586,202749059;17038,9847188825;13968,1432261273;17134,5153332819;17350,8137216051;16128,3453396123;13698,1335698276
"35";"Spain";1;0;1;"pca.m.2";"maize";-0,75;40,75;2344,57534244443;14189,3755037309;2195,64931598062;15489,8687476529;13580,4261581904;16913,4705989367;17153,4698882762;14088,7119341875;14941,7825439003;12206,8981434763;13251,6074029434;18804,4613291459;10958,1703906468;15273,1019821115;15263,253107492;12560,3408705418;14556,8245981608;14790,4293144977;11159,0535401668;13988,9237769599;10179,8039940761;17245,9334310497;12807,4810362999;14539,1430924443;16363,8889754351;12846,8874172995;11581,0798156496
"36";"Spain";1;0;1;"pca.m.2";"maize";-0,75;41,25;2327,12620836697;10019,3066524701;1440,95907516851;11119,7289140244;7578,78391868249;10577,8585986613;11359,2847272108;9707,64698740346;10030,3166964172;8369,73215005076;10259,3988365863;11004,6410476769;8152,38921822039;10411,9914055967;9988,15735221304;11195,7015542415;10611,1479472488;11759,3048822109;8984,36579067989;10076,5098833166;6469,84314525326;12282,5808670624;10676,7717402637;11093,9027461715;10540,6992739118;10504,7004012898;7707,90157488741
"37";"Spain";1;0;1;"pca.m.2";"maize";-0,75;41,75;2309,49639002374;9339,63255249797;1788,29867782031;10460,0141862789;7757,93087363984;10486,9011213716;11450,8496750999;7675,58117648647;8084,56540090623;7363,18969764636;9304,83876811762;10579,365857862;8145,05468826794;8689,74593774436;8980,99850921529;11111,1856043257;10594,2321592764;10348,6450114829;8689,40302292999;9438,25336043935;4796,28232144616;14137,998605242;9166,62115084546;9703,71302153516;10064,6619699524;9073,23486345229;8047,91427638702
"38";"Spain";1;0;1;"pca.m.2";"maize";-0,75;42,25;2291,68709283673;14861,0614681787;2409,01040072936;17950,0616954624;12866,2785288856;17623,8065672544;17868,1729550056;11002,1525286763;12361,3092113048;12464,261575823;13730,1086335646;17894,8304049514;12545,2603809694;16345,7822365166;13025,6925250998;17239,4654364598;18368,9976595008;16948,3614289841;12024,1804922814;15702,4408291371;10870,9315670621;16610,7430358883;15113,0746839436;16285,33421409;13942,4186834527;13560,2312056937;14321,5787562825
"39";"Spain";1;0;1;"pca.m.2";"maize";-0,75;42,75;2273,69953831345;14767,6866742009;2017,8555353649;12208,581993697;15993,8503246714;14271,8408163836;12456,7327617454;15412,3511259216;17057,2785761797;15920,2187527952;15544,7641385932;13491,1883365241;13197,9820051151;14567,5154526084;19869,3718037806;12073,2744784381;13421,3743823194;18156,7799436695;16431,6146398233;13288,9330624261;16853,0995571492;14235,7220748102;12340,0899051478;12677,9511936602;13957,3273534245;15243,0976101108;15753,5398918281
